date,USSR,United States,United Kingdom,France,Japan,European Collaboration,Germany,China,Italy,India,Israel,Russia,Brazil,North Korea,Iran,South Korea,Taiwan,Australia
01/04/1975,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/05/1975,7,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/1975,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/1975,8,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
01/08/1975,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/1975,12,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/1975,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/11/1975,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
01/12/1975,10,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
01/01/1976,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/02/1976,6,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/1976,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/04/1976,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/05/1976,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/1976,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/1976,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/1976,7,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
01/09/1976,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/1976,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/11/1976,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
01/12/1976,12,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
01/01/1977,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/02/1977,8,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/1977,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/04/1977,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/05/1977,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/1977,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/1977,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/1977,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/1977,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/1977,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/11/1977,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/12/1977,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/1978,9,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
01/02/1978,6,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/1978,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/04/1978,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/05/1978,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/1978,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/1978,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/1978,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/1978,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/1978,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/11/1978,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/12/1978,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/1979,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01/02/1979,10,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/1979,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/04/1979,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/05/1979,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/1979,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/1979,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
01/08/1979,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/1979,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/1979,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/11/1979,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/12/1979,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/1980,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/02/1980,4,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/1980,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/04/1980,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/05/1980,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/1980,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/1980,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/1980,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/1980,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/1980,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/11/1980,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/12/1980,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/1981,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/02/1981,7,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/1981,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/04/1981,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/05/1981,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/1981,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/1981,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/1981,12,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/1981,12,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
01/10/1981,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/11/1981,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/12/1981,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/1982,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/02/1982,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/1982,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/04/1982,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/05/1982,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/1982,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/1982,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/1982,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/1982,10,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
01/10/1982,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/11/1982,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/12/1982,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/1983,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01/02/1983,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/1983,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/04/1983,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/05/1983,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/1983,8,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/1983,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/1983,10,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
01/09/1983,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/1983,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/11/1983,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/12/1983,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/1984,6,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
01/02/1984,7,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
