Name,Symbol,Date,High
Bitcoin,BTC,19.05.2014  .,447.5549927
Bitcoin,BTC,20.05.2014  .,491.4440002
Bitcoin,BTC,21.05.2014  .,494.368988
Bitcoin,BTC,22.05.2014  .,525.3560181
Bitcoin,BTC,23.05.2014  .,541.9559937
Bitcoin,BTC,24.05.2014  .,525.1699829
Bitcoin,BTC,25.05.2014  .,576.4780273
Bitcoin,BTC,26.05.2014  .,588.3889771
Bitcoin,BTC,27.05.2014  .,589.5170288
Bitcoin,BTC,28.05.2014  .,578.6240234
Bitcoin,BTC,29.05.2014  .,577.0960083
Bitcoin,BTC,30.05.2014  .,618.4580078
Bitcoin,BTC,31.05.2014  .,624.7150269
Bitcoin,BTC,01.06.2014  .,671.5130005
Bitcoin,BTC,02.06.2014  .,665.4979858
Bitcoin,BTC,03.06.2014  .,674.1110229
Bitcoin,BTC,04.06.2014  .,668.5629883
Bitcoin,BTC,05.06.2014  .,663.526001
Bitcoin,BTC,06.06.2014  .,661.3660278
Bitcoin,BTC,07.06.2014  .,656.9439697
Bitcoin,BTC,08.06.2014  .,658.8839722
Bitcoin,BTC,09.06.2014  .,657.7030029
Bitcoin,BTC,10.06.2014  .,659.6149902
Bitcoin,BTC,11.06.2014  .,657.039978
Bitcoin,BTC,12.06.2014  .,638.1090088
Bitcoin,BTC,13.06.2014  .,615.1370239
Bitcoin,BTC,14.06.2014  .,601.2700195
Bitcoin,BTC,15.06.2014  .,592.9370117
Bitcoin,BTC,16.06.2014  .,608.7199707
Bitcoin,BTC,17.06.2014  .,610.8889771
Bitcoin,BTC,18.06.2014  .,615.8809814
Bitcoin,BTC,19.06.2014  .,612.2410278
Bitcoin,BTC,20.06.2014  .,599.7540283
Bitcoin,BTC,21.06.2014  .,599.4619751
Bitcoin,BTC,22.06.2014  .,605.9970093
Bitcoin,BTC,23.06.2014  .,603.2119751
Bitcoin,BTC,24.06.2014  .,596.9710083
Bitcoin,BTC,25.06.2014  .,583.598999
Bitcoin,BTC,26.06.2014  .,581.6290283
Bitcoin,BTC,27.06.2014  .,600.1240234
Bitcoin,BTC,28.06.2014  .,604.4730225
Bitcoin,BTC,29.06.2014  .,604.0759888
Bitcoin,BTC,30.06.2014  .,645.1550293
Bitcoin,BTC,01.07.2014  .,657.8579712
Bitcoin,BTC,02.07.2014  .,656.6779785
Bitcoin,BTC,03.07.2014  .,650.7689819
Bitcoin,BTC,04.07.2014  .,648.4329834
Bitcoin,BTC,05.07.2014  .,633.2219849
Bitcoin,BTC,06.07.2014  .,638.6530151
Bitcoin,BTC,07.07.2014  .,637.1569824
Bitcoin,BTC,08.07.2014  .,626.6950073
Bitcoin,BTC,09.07.2014  .,626.9979858
Bitcoin,BTC,10.07.2014  .,626.1160278
Bitcoin,BTC,11.07.2014  .,632.0859985
Bitcoin,BTC,12.07.2014  .,636.65802
Bitcoin,BTC,13.07.2014  .,634.7269897
Bitcoin,BTC,14.07.2014  .,627.34198
Bitcoin,BTC,15.07.2014  .,625.1409912
Bitcoin,BTC,16.07.2014  .,623.09198
Bitcoin,BTC,17.07.2014  .,626.289978
Bitcoin,BTC,18.07.2014  .,629.2130127
Bitcoin,BTC,19.07.2014  .,629.1660156
Bitcoin,BTC,20.07.2014  .,628.559021
Bitcoin,BTC,21.07.2014  .,624.0900269
Bitcoin,BTC,22.07.2014  .,624.2979736
Bitcoin,BTC,23.07.2014  .,624.4310303
Bitcoin,BTC,24.07.2014  .,620.4290161
Bitcoin,BTC,25.07.2014  .,607.0650024
Bitcoin,BTC,26.07.2014  .,602.0880127
Bitcoin,BTC,27.07.2014  .,598.9420166
Bitcoin,BTC,28.07.2014  .,594.572998
Bitcoin,BTC,29.07.2014  .,588.3850098
Bitcoin,BTC,30.07.2014  .,585.1220093
Bitcoin,BTC,31.07.2014  .,586.2349854
Bitcoin,BTC,01.08.2014  .,597.9219971
Bitcoin,BTC,02.08.2014  .,594.9099731
Bitcoin,BTC,03.08.2014  .,589.151001
Bitcoin,BTC,04.08.2014  .,591.9459839
Bitcoin,BTC,05.08.2014  .,589.8649902
Bitcoin,BTC,06.08.2014  .,587.4860229
Bitcoin,BTC,07.08.2014  .,591.1040039
Bitcoin,BTC,08.08.2014  .,598.1160278
Bitcoin,BTC,09.08.2014  .,592.4699707
Bitcoin,BTC,10.08.2014  .,594.460022
Bitcoin,BTC,11.08.2014  .,591.507019
Bitcoin,BTC,12.08.2014  .,576.947998
Bitcoin,BTC,13.08.2014  .,573.03302
Bitcoin,BTC,14.08.2014  .,546.2440186
Bitcoin,BTC,15.08.2014  .,518.1790161
Bitcoin,BTC,16.08.2014  .,521.4749756
Bitcoin,BTC,17.08.2014  .,520.1900024
Bitcoin,BTC,18.08.2014  .,499.3699951
Bitcoin,BTC,19.08.2014  .,485.7099915
Bitcoin,BTC,20.08.2014  .,518.2849731
Bitcoin,BTC,21.08.2014  .,531.9000244
Bitcoin,BTC,22.08.2014  .,521.4790039
Bitcoin,BTC,23.08.2014  .,514.2990112
Bitcoin,BTC,24.08.2014  .,512.8880005
Bitcoin,BTC,25.08.2014  .,508.2200012
Bitcoin,BTC,26.08.2014  .,512.6879883
Bitcoin,BTC,27.08.2014  .,520.7089844
Bitcoin,BTC,28.08.2014  .,516.1569824
Bitcoin,BTC,29.08.2014  .,511.6950073
Bitcoin,BTC,30.08.2014  .,509.3080139
Bitcoin,BTC,31.08.2014  .,504.8789978
Bitcoin,BTC,01.09.2014  .,485.3059998
Bitcoin,BTC,02.09.2014  .,482.9880066
Bitcoin,BTC,03.09.2014  .,481.7120056
Bitcoin,BTC,04.09.2014  .,493.928009
Bitcoin,BTC,05.09.2014  .,490.6430054
Bitcoin,BTC,06.09.2014  .,488.5950012
Bitcoin,BTC,07.09.2014  .,488.0660095
Bitcoin,BTC,08.09.2014  .,489.8340149
Bitcoin,BTC,09.09.2014  .,477.3770142
Bitcoin,BTC,10.09.2014  .,487.4679871
Bitcoin,BTC,11.09.2014  .,482.3510132
Bitcoin,BTC,12.09.2014  .,479.6279907
Bitcoin,BTC,13.09.2014  .,482.1170044
Bitcoin,BTC,14.09.2014  .,479.8529968
Bitcoin,BTC,15.09.2014  .,478.6199951
Bitcoin,BTC,16.09.2014  .,475.6419983
Bitcoin,BTC,17.09.2014  .,468.1740112
Bitcoin,BTC,18.09.2014  .,456.8599854
Bitcoin,BTC,19.09.2014  .,427.8349915
Bitcoin,BTC,20.09.2014  .,423.29599
Bitcoin,BTC,21.09.2014  .,412.4259949
Bitcoin,BTC,22.09.2014  .,406.9159851
Bitcoin,BTC,23.09.2014  .,441.5570068
Bitcoin,BTC,24.09.2014  .,436.1119995
Bitcoin,BTC,25.09.2014  .,423.519989
Bitcoin,BTC,26.09.2014  .,414.9379883
Bitcoin,BTC,27.09.2014  .,406.6229858
Bitcoin,BTC,28.09.2014  .,401.0169983
Bitcoin,BTC,29.09.2014  .,385.2109985
Bitcoin,BTC,30.09.2014  .,390.9769897
Bitcoin,BTC,01.10.2014  .,391.3789978
Bitcoin,BTC,02.10.2014  .,385.4970093
Bitcoin,BTC,03.10.2014  .,377.6950073
Bitcoin,BTC,04.10.2014  .,364.4869995
Bitcoin,BTC,05.10.2014  .,341.8009949
Bitcoin,BTC,06.10.2014  .,345.1340027
Bitcoin,BTC,07.10.2014  .,339.2470093
Bitcoin,BTC,08.10.2014  .,354.3640137
Bitcoin,BTC,09.10.2014  .,382.7260132
Bitcoin,BTC,10.10.2014  .,375.0669861
Bitcoin,BTC,11.10.2014  .,367.1910095
Bitcoin,BTC,12.10.2014  .,379.4330139
Bitcoin,BTC,13.10.2014  .,397.2260132
Bitcoin,BTC,14.10.2014  .,411.697998
Bitcoin,BTC,15.10.2014  .,402.2269897
Bitcoin,BTC,16.10.2014  .,398.8070068
Bitcoin,BTC,17.10.2014  .,385.4779968
Bitcoin,BTC,18.10.2014  .,395.1579895
Bitcoin,BTC,19.10.2014  .,393.9389954
Bitcoin,BTC,20.10.2014  .,390.0840149
Bitcoin,BTC,21.10.2014  .,392.6459961
Bitcoin,BTC,22.10.2014  .,388.5759888
